fetched from: https://autoconfig.thunderbird.net/v1.1/, enriched, updated at: 2024-05-08
domain;smtp_host:smtp_port,smtp_host:smtp_port,smtp_host:smtp_port;smtp_login_template
arcor.de;mail.arcor.de:465,www.arcor.de:587;%EMAILLOCALPART%
aol.com.mx;smtp.aol.com:465;%EMAILADDRESS%
aol.de;smtp.aol.com:465;%EMAILADDRESS%
archaeologist.com;smtp.mail.com:465;%EMAILADDRESS%
aqua.plala.or.jp;aqua.mail.plala.or.jp:587;%EMAILLOCALPART%
amorki.pl;smtp.poczta.onet.pl:465;%EMAILADDRESS%
arubapec.it;smtps.pec.aruba.it:465,safety21.pec.aruba.it:465;%EMAILADDRESS%
anarki.dk;mail.telenor.dk:587;%EMAILADDRESS%
artlover.com;smtp.mail.com:465;%EMAILADDRESS%
atheist.com;smtp.mail.com:465;%EMAILADDRESS%
australiamail.com;smtp.mail.com:465;%EMAILADDRESS%
aol.es;smtp.aol.com:465;%EMAILADDRESS%
aol.com.br;smtp.aol.com:465;%EMAILADDRESS%
arizona.usa.com;smtp.mail.com:465;%EMAILADDRESS%
aol.com.ar;smtp.aol.com:465;%EMAILADDRESS%
bc.iij4u.or.jp;mbox.iij4u.or.jp:587;%EMAILLOCALPART%.%EMAILDOMAIN%
bay.wind.co.jp;bay.wind.ne.jp:587;%EMAILLOCALPART%
bay.wind.jp;bay.wind.ne.jp:587;%EMAILLOCALPART%
bay.gunmanet.ne.jp;bay.wind.ne.jp:587;%EMAILLOCALPART%
bay.gunmanet.or.jp;bay.wind.ne.jp:587;%EMAILLOCALPART%
apost.plala.or.jp;apost.mail.plala.or.jp:587;%EMAILLOCALPART%
asia-mail.com;smtp.mail.com:465;%EMAILADDRESS%
123mail.dk;mail.telenor.dk:587;%EMAILADDRESS%
bartender.net;smtp.mail.com:465;%EMAILADDRESS%
ballade.plala.or.jp;ballade.mail.plala.or.jp:587;%EMAILLOCALPART%
bell.net;smtphm.sympatico.ca:587;%EMAILADDRESS%
bellsouth.net;outbound.att.net:465;%EMAILADDRESS%
alumni.com;smtp.mail.com:465;%EMAILADDRESS%
am0.yahoodns.net;smtp.mail.yahoo.com:465,smtp.mail.yahoo.com:587,smtp.att.yahoo.com:587,smtp.att.yahoo.com:465;%EMAILADDRESS%
bigger.com;smtp.mail.com:465;%EMAILADDRESS%
begavet.dk;mail.telenor.dk:587;%EMAILADDRESS%
bay.wind.ne.jp;bay.wind.ne.jp:587;%EMAILLOCALPART%
bigpond.com;smtp.telstra.com:465;%EMAILADDRESS%
berlin.com;smtp.mail.com:465;%EMAILADDRESS%
blu.it;smtp.libero.it:465;%EMAILADDRESS%
birdlover.com;smtp.mail.com:465;%EMAILADDRESS%
bigpond.net;smtp.telstra.com:465;%EMAILADDRESS%
blader.com;smtp.mail.com:465;%EMAILADDRESS%
biglobe.ne.jp;mail.biglobe.ne.jp:465,octopus.biglobe.ne.jp:465;%EMAILADDRESS%
bk.iij4u.or.jp;mbox.iij4u.or.jp:587;%EMAILLOCALPART%.%EMAILDOMAIN%
bikerider.com;smtp.mail.com:465;%EMAILADDRESS%
bk.ru;smtp.mail.ru:465,smtp32.i.mail.ru:465,smtp55.i.mail.ru:465,smtp54.i.mail.ru:465,smtp41.i.mail.ru:465,smtp45.i.mail.ru:465;%EMAILADDRESS%
belgacom.net;relay.proximus.be:587;%EMAILADDRESS%
bluemail.ch;smtpauths.bluewin.ch:465,sme.bluewin.ch:587;%EMAILADDRESS%
blue.plala.or.jp;blue.mail.plala.or.jp:587;%EMAILLOCALPART%
aol.com.au;smtp.aol.com:465;%EMAILADDRESS%
bitnisse.dk;mail.telenor.dk:587;%EMAILADDRESS%
bluewin.ch;smtpauths.bluewin.ch:465,sme.bluewin.ch:587;%EMAILADDRESS%
blueyonder.co.uk;smtp.blueyonder.co.uk:465;%EMAILADDRESS%
bmail.plala.or.jp;bmail.mail.plala.or.jp:587;%EMAILLOCALPART%
bol.com.br;smtps.bol.com.br:465;%EMAILLOCALPART%
boardermail.com;smtp.mail.com:465;%EMAILADDRESS%
bolero.plala.or.jp;bolero.mail.plala.or.jp:587;%EMAILLOCALPART%
bigpond.net.au;smtp.telstra.com:465;%EMAILADDRESS%
btinternet.com;mail.btinternet.com:465;%EMAILADDRESS%
bpost.plala.or.jp;bpost.mail.plala.or.jp:587;%EMAILLOCALPART%
autograf.pl;smtp.poczta.onet.pl:465;%EMAILADDRESS%
brown.plala.or.jp;brown.mail.plala.or.jp:587;%EMAILLOCALPART%
buziaczek.pl;smtp.poczta.onet.pl:465;%EMAILADDRESS%
bu.iij4u.or.jp;mbox.iij4u.or.jp:587;%EMAILLOCALPART%.%EMAILDOMAIN%
californiamail.com;smtp.mail.com:465;%EMAILADDRESS%
